290 1631381754 0,000000 0,000000 -101,000000 0,000000 0,000000
290 1631381755 0,000000 0,000000 -101,000000 0,000000 0,000000
290 1631381756 0,000000 0,000000 -101,000000 0,000000 0,000000
290 1631381757 0,000000 0,000000 -101,000000 0,000000 0,000000
290 1631381758 4,500000 0,400000 1,800000 1,800000 -20,200000
290 1631381759 4,500000 0,400000 3,600000 3,600000 -20,200000
290 1631381760 4,500000 0,400000 5,400000 5,400000 -20,200000
290 1631381761 4,500000 0,400000 7,200000 7,200000 -20,200000
290 1631381762 4,500000 0,400000 9,000000 9,000000 -20,200000
290 1631381763 1,571429 1,400000 11,200000 11,200000 -20,200000
290 1631381764 1,571429 1,400000 13,400000 13,400000 -20,200000
290 1631381765 1,571429 1,400000 15,600000 15,600000 -20,200000
290 1631381766 1,571429 1,400000 17,800000 17,800000 -20,200000
290 1631381767 1,571429 1,400000 20,000000 20,000000 -20,200000
290 1631381768 0,000000 2,800000 20,000000 20,000000 -20,200000
290 1631381769 0,000000 2,800000 20,000000 20,000000 -20,200000
290 1631381770 0,000000 2,800000 20,000000 20,000000 -20,200000
290 1631381771 0,000000 2,800000 20,000000 20,000000 -20,200000
290 1631381772 0,000000 2,800000 20,000000 20,000000 -20,200000
290 1631381773 0,700000 4,000000 22,800000 22,800000 -20,200000
290 1631381774 0,700000 4,000000 25,600000 25,600000 -20,200000
290 1631381775 0,700000 4,000000 28,400000 28,400000 -20,200000
290 1631381776 0,700000 4,000000 31,200000 31,200000 -20,200000
290 1631381777 0,700000 4,000000 34,000000 34,000000 -20,200000
290 1631381778 -0,370370 5,400000 32,000000 32,000000 -20,200000
290 1631381779 -0,370370 5,400000 30,000000 30,000000 -20,200000
290 1631381780 -0,370370 5,400000 28,000000 28,000000 -20,200000
290 1631381781 -0,370370 5,400000 26,000000 26,000000 -20,200000
290 1631381782 -0,370370 5,400000 24,000000 24,000000 -20,200000
290 1631381783 -0,062500 6,400000 23,600000 23,600000 -20,200000
290 1631381784 -0,062500 6,400000 23,200000 23,200000 -20,200000
290 1631381785 -0,062500 6,400000 22,800000 22,800000 -20,200000
290 1631381786 -0,062500 6,400000 22,400000 22,400000 -20,200000
290 1631381787 -0,062500 6,400000 22,000000 22,000000 -20,200000
290 1631381788 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381789 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381790 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381791 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381792 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381793 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381794 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381795 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381796 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381797 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381798 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381799 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381800 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381801 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381802 0,000000 6,400000 22,000000 22,000000 -20,200000
290 1631381803 0,121212 6,600000 22,800000 22,800000 -20,200000
290 1631381804 0,121212 6,600000 23,600000 23,600000 -20,200000
290 1631381805 0,121212 6,600000 24,400000 24,400000 -20,200000
290 1631381806 0,121212 6,600000 25,200000 25,200000 -20,200000
290 1631381807 0,121212 6,600000 26,000000 26,000000 -20,200000
290 1631381808 -0,028571 7,000000 25,800000 25,800000 -20,200000
290 1631381809 -0,028571 7,000000 25,600000 25,600000 -20,200000
290 1631381810 -0,028571 7,000000 25,400000 25,400000 -20,200000
290 1631381811 -0,028571 7,000000 25,200000 25,200000 -20,200000
290 1631381812 -0,028571 7,000000 25,000000 25,000000 -20,200000
290 1631381813 0,027778 7,200000 25,200000 25,200000 -20,200000
290 1631381814 0,027778 7,200000 25,400000 25,400000 -20,200000
290 1631381815 0,027778 7,200000 25,600000 25,600000 -20,200000
290 1631381816 0,027778 7,200000 25,800000 25,800000 -20,200000
290 1631381817 0,027778 7,200000 26,000000 26,000000 -20,200000
290 1631381818 -0,025641 7,800000 25,800000 25,800000 -20,200000
290 1631381819 -0,025641 7,800000 25,600000 25,600000 -20,200000
290 1631381820 -0,025641 7,800000 25,400000 25,400000 -20,200000
290 1631381821 -0,025641 7,800000 25,200000 25,200000 -20,200000
290 1631381822 -0,025641 7,800000 25,000000 25,000000 -20,200000
290 1631381823 -0,024390 8,200000 24,800000 24,800000 -20,200000
290 1631381824 -0,024390 8,200000 24,600000 24,600000 -20,200000
290 1631381825 -0,024390 8,200000 24,400000 24,400000 -20,200000
290 1631381826 -0,024390 8,200000 24,200000 24,200000 -20,200000
290 1631381827 -0,024390 8,200000 24,000000 24,000000 -20,200000
290 1631381828 -0,071429 8,400000 23,400000 23,400000 -20,200000
290 1631381829 -0,071429 8,400000 22,800000 22,800000 -20,200000
290 1631381830 -0,071429 8,400000 22,200000 22,200000 -20,200000
290 1631381831 -0,071429 8,400000 21,600000 21,600000 -20,200000
290 1631381832 -0,071429 8,400000 21,000000 21,000000 -20,200000
290 1631381833 0,090909 8,800000 21,800000 21,800000 -20,200000
290 1631381834 0,090909 8,800000 22,600000 22,600000 -20,200000
290 1631381835 0,090909 8,800000 23,400000 23,400000 -20,200000
290 1631381836 0,090909 8,800000 24,200000 24,200000 -20,200000
290 1631381837 0,090909 8,800000 25,000000 25,000000 -20,200000
290 1631381838 0,022222 9,000000 25,200000 25,200000 -20,200000
290 1631381839 0,022222 9,000000 25,400000 25,400000 -20,200000
290 1631381840 0,022222 9,000000 25,600000 25,600000 -20,200000
290 1631381841 0,022222 9,000000 25,800000 25,800000 -20,200000
290 1631381842 0,022222 9,000000 26,000000 26,000000 -20,200000
290 1631381843 0,020833 9,600000 26,200000 26,200000 -20,200000
290 1631381844 0,020833 9,600000 26,400000 26,400000 -20,200000
290 1631381845 0,020833 9,600000 26,600000 26,600000 -20,200000
290 1631381846 0,020833 9,600000 26,800000 26,800000 -20,200000
290 1631381847 0,020833 9,600000 27,000000 27,000000 -20,200000
290 1631381848 0,037037 10,800000 27,400000 27,400000 -20,200000
290 1631381849 0,037037 10,800000 27,800000 27,800000 -20,200000
290 1631381850 0,037037 10,800000 28,200000 28,200000 -20,200000
290 1631381851 0,037037 10,800000 28,600000 28,600000 -20,200000
290 1631381852 0,037037 10,800000 29,000000 29,000000 -20,200000
290 1631381853 -0,053571 11,200000 28,400000 28,400000 -20,200000
290 1631381854 -0,053571 11,200000 27,800000 27,800000 -20,200000
290 1631381855 -0,053571 11,200000 27,200000 27,200000 -20,200000
290 1631381856 -0,053571 11,200000 26,600000 26,600000 -20,200000
290 1631381857 -0,053571 11,200000 26,000000 26,000000 -20,200000
290 1631381858 -0,083333 12,000000 25,000000 25,000000 -20,200000
290 1631381859 -0,083333 12,000000 24,000000 24,000000 -20,200000
290 1631381860 -0,083333 12,000000 23,000000 23,000000 -20,200000
290 1631381861 -0,083333 12,000000 22,000000 22,000000 -20,200000
290 1631381862 -0,083333 12,000000 21,000000 21,000000 -20,200000
290 1631381863 0,032258 12,400000 21,400000 21,400000 -20,200000
290 1631381864 0,032258 12,400000 21,800000 21,800000 -20,200000
290 1631381865 0,032258 12,400000 22,200000 22,200000 -20,200000
290 1631381866 0,032258 12,400000 22,600000 22,600000 -20,200000
290 1631381867 0,032258 12,400000 23,000000 23,000000 -20,200000
290 1631381868 0,047619 12,600000 23,600000 23,600000 -20,200000
290 1631381869 0,047619 12,600000 24,200000 24,200000 -20,200000
290 1631381870 0,047619 12,600000 24,800000 24,800000 -20,200000
290 1631381871 0,047619 12,600000 25,400000 25,400000 -20,200000
290 1631381872 0,047619 12,600000 26,000000 26,000000 -20,200000
290 1631381873 -0,031250 12,800000 25,600000 25,600000 -20,200000
290 1631381874 -0,031250 12,800000 25,200000 25,200000 -20,200000
290 1631381875 -0,031250 12,800000 24,800000 24,800000 -20,200000
290 1631381876 -0,031250 12,800000 24,400000 24,400000 -20,200000
290 1631381877 -0,031250 12,800000 24,000000 24,000000 -20,200000
290 1631381878 -0,030303 13,200000 23,600000 23,600000 -20,200000
