256 1631355145 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355146 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355147 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355148 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355149 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355185 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355186 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355187 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355188 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355189 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355295 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355296 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355297 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355298 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355299 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355305 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355306 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355307 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355308 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355309 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355455 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355456 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355457 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355458 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355459 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355470 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355471 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355472 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355473 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355474 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355480 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355481 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355482 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355483 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355484 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355490 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355491 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355492 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355493 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355494 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355505 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355506 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355507 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355508 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355509 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355515 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355516 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355517 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355518 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355519 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355520 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355521 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355522 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355523 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355524 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355530 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355531 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355532 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355533 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355534 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355545 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355546 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355547 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355548 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355549 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355615 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355616 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355617 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355618 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355619 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355635 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355636 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355637 0,200000 -1,000000 -101,000000 0,000000 0,000000
256 1631355699 0,200000 -1,000000 0,200000 0,200000 0,008000
256 1631355698 0,200000 -1,000000 0,200000 0,200000 0,008000
256 1631355697 0,200000 -1,000000 0,200000 0,200000 0,008000
