214 1631355130 0,000263 0,200000 0,000263 0,000263 0,000000
211 1631355130 0,100209 0,200000 0,100209 0,100209 0,002008
214 1631355131 0,000263 0,200000 0,000263 0,000263 0,000000
211 1631355131 0,100209 0,200000 0,100209 0,100209 0,002008
214 1631355132 0,000263 0,200000 0,000263 0,000263 0,000000
211 1631355132 0,100209 0,200000 0,100209 0,100209 0,002008
214 1631355133 0,000263 0,200000 0,000263 0,000263 0,000000
211 1631355133 0,100209 0,200000 0,100209 0,100209 0,002008
214 1631355134 0,000263 0,200000 0,000263 0,000263 0,000000
211 1631355134 0,100209 0,200000 0,100209 0,100209 0,002008
232 1631355135 0,120236 0,200000 0,120236 0,120236 0,002891
217 1631355135 0,103087 0,400000 0,100469 0,105705 0,004254
214 1631355135 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355135 0,095649 0,200000 0,095649 0,095649 0,001830
232 1631355136 0,120236 0,200000 0,120236 0,120236 0,002891
217 1631355136 0,103087 0,400000 0,100469 0,105705 0,004254
214 1631355136 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355136 0,095649 0,200000 0,095649 0,095649 0,001830
232 1631355137 0,120236 0,200000 0,120236 0,120236 0,002891
217 1631355137 0,103087 0,400000 0,100469 0,105705 0,004254
214 1631355137 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355137 0,095649 0,200000 0,095649 0,095649 0,001830
232 1631355138 0,120236 0,200000 0,120236 0,120236 0,002891
217 1631355138 0,103087 0,400000 0,100469 0,105705 0,004254
214 1631355138 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355138 0,095649 0,200000 0,095649 0,095649 0,001830
232 1631355139 0,120236 0,200000 0,120236 0,120236 0,002891
217 1631355139 0,103087 0,400000 0,100469 0,105705 0,004254
214 1631355139 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355139 0,095649 0,200000 0,095649 0,095649 0,001830
235 1631355140 0,071986 0,200000 0,071986 0,071986 0,001036
217 1631355140 0,100480 0,200000 0,100480 0,100480 0,002019
214 1631355140 0,000220 0,200000 0,000220 0,000220 0,000000
211 1631355140 0,100058 0,200000 0,100058 0,100058 0,002002
247 1631355140 10,301785 0,200000 10,301785 10,301785 21,225355
241 1631355140 0,043744 0,200000 0,043744 0,043744 0,000383
244 1631355140 0,120701 0,200000 0,120701 0,120701 0,002914
238 1631355140 10,301820 0,200000 10,301820 10,301820 21,225500
235 1631355141 0,071986 0,200000 0,071986 0,071986 0,001036
217 1631355141 0,100480 0,200000 0,100480 0,100480 0,002019
214 1631355141 0,000220 0,200000 0,000220 0,000220 0,000000
211 1631355141 0,100058 0,200000 0,100058 0,100058 0,002002
247 1631355141 10,301785 0,200000 10,301785 10,301785 21,225355
241 1631355141 0,043744 0,200000 0,043744 0,043744 0,000383
244 1631355141 0,120701 0,200000 0,120701 0,120701 0,002914
238 1631355141 10,301820 0,200000 10,301820 10,301820 21,225500
235 1631355142 0,071986 0,200000 0,071986 0,071986 0,001036
217 1631355142 0,100480 0,200000 0,100480 0,100480 0,002019
214 1631355142 0,000220 0,200000 0,000220 0,000220 0,000000
211 1631355142 0,100058 0,200000 0,100058 0,100058 0,002002
247 1631355142 10,301785 0,200000 10,301785 10,301785 21,225355
241 1631355142 0,043744 0,200000 0,043744 0,043744 0,000383
244 1631355142 0,120701 0,200000 0,120701 0,120701 0,002914
238 1631355142 10,301820 0,200000 10,301820 10,301820 21,225500
235 1631355143 0,071986 0,200000 0,071986 0,071986 0,001036
217 1631355143 0,100480 0,200000 0,100480 0,100480 0,002019
214 1631355143 0,000220 0,200000 0,000220 0,000220 0,000000
211 1631355143 0,100058 0,200000 0,100058 0,100058 0,002002
247 1631355143 10,301785 0,200000 10,301785 10,301785 21,225355
241 1631355143 0,043744 0,200000 0,043744 0,043744 0,000383
244 1631355143 0,120701 0,200000 0,120701 0,120701 0,002914
238 1631355143 10,301820 0,200000 10,301820 10,301820 21,225500
235 1631355144 0,071986 0,200000 0,071986 0,071986 0,001036
217 1631355144 0,100480 0,200000 0,100480 0,100480 0,002019
214 1631355144 0,000220 0,200000 0,000220 0,000220 0,000000
211 1631355144 0,100058 0,200000 0,100058 0,100058 0,002002
247 1631355144 10,301785 0,200000 10,301785 10,301785 21,225355
241 1631355144 0,043744 0,200000 0,043744 0,043744 0,000383
244 1631355144 0,120701 0,200000 0,120701 0,120701 0,002914
238 1631355144 10,301820 0,200000 10,301820 10,301820 21,225500
232 1631355145 0,078212 0,200000 0,078212 0,078212 0,001223
254 1631355145 12,751686 0,200000 12,751686 12,751686 32,521100
235 1631355145 0,084349 0,200000 0,084349 0,084349 0,001423
251 1631355145 0,044699 0,200000 0,044699 0,044699 0,000400
214 1631355145 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355145 0,100817 0,200000 0,100817 0,100817 0,002033
241 1631355145 0,042020 0,200000 0,042020 0,042020 0,000353
244 1631355145 0,120918 0,200000 0,120918 0,120918 0,002924
238 1631355145 12,751739 0,200000 12,751739 12,751739 32,521370
232 1631355146 0,078212 0,200000 0,078212 0,078212 0,001223
244 1631355146 0,120918 0,200000 0,120918 0,120918 0,002924
254 1631355146 12,751686 0,200000 12,751686 12,751686 32,521100
235 1631355146 0,084349 0,200000 0,084349 0,084349 0,001423
251 1631355146 0,044699 0,200000 0,044699 0,044699 0,000400
214 1631355146 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355146 0,100817 0,200000 0,100817 0,100817 0,002033
241 1631355146 0,042020 0,200000 0,042020 0,042020 0,000353
238 1631355146 12,751739 0,200000 12,751739 12,751739 32,521370
232 1631355147 0,078212 0,200000 0,078212 0,078212 0,001223
254 1631355147 12,751686 0,200000 12,751686 12,751686 32,521100
235 1631355147 0,084349 0,200000 0,084349 0,084349 0,001423
251 1631355147 0,044699 0,200000 0,044699 0,044699 0,000400
214 1631355147 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355147 0,100817 0,200000 0,100817 0,100817 0,002033
241 1631355147 0,042020 0,200000 0,042020 0,042020 0,000353
244 1631355147 0,120918 0,200000 0,120918 0,120918 0,002924
238 1631355147 12,751739 0,200000 12,751739 12,751739 32,521370
232 1631355148 0,078212 0,200000 0,078212 0,078212 0,001223
254 1631355148 12,751686 0,200000 12,751686 12,751686 32,521100
235 1631355148 0,084349 0,200000 0,084349 0,084349 0,001423
251 1631355148 0,044699 0,200000 0,044699 0,044699 0,000400
214 1631355148 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355148 0,100817 0,200000 0,100817 0,100817 0,002033
241 1631355148 0,042020 0,200000 0,042020 0,042020 0,000353
244 1631355148 0,120918 0,200000 0,120918 0,120918 0,002924
238 1631355148 12,751739 0,200000 12,751739 12,751739 32,521370
232 1631355149 0,078212 0,200000 0,078212 0,078212 0,001223
254 1631355149 12,751686 0,200000 12,751686 12,751686 32,521100
235 1631355149 0,084349 0,200000 0,084349 0,084349 0,001423
251 1631355149 0,044699 0,200000 0,044699 0,044699 0,000400
214 1631355149 0,000209 0,200000 0,000209 0,000209 0,000000
211 1631355149 0,100817 0,200000 0,100817 0,100817 0,002033
241 1631355149 0,042020 0,200000 0,042020 0,042020 0,000353
244 1631355149 0,120918 0,200000 0,120918 0,120918 0,002924
238 1631355149 12,751739 0,200000 12,751739 12,751739 32,521370
251 1631355150 0,042466 0,200000 0,042466 0,042466 0,000361
214 1631355150 0,000178 0,200000 0,000178 0,000178 0,000000
211 1631355150 0,100363 0,200000 0,100363 0,100363 0,002015
259 1631355150 0,136194 0,200000 0,136194 0,136194 0,003710
211 1631355151 0,100363 0,200000 0,100363 0,100363 0,002015
251 1631355151 0,042466 0,200000 0,042466 0,042466 0,000361
214 1631355151 0,000178 0,200000 0,000178 0,000178 0,000000
259 1631355151 0,136194 0,200000 0,136194 0,136194 0,003710
251 1631355152 0,042466 0,200000 0,042466 0,042466 0,000361
214 1631355152 0,000178 0,200000 0,000178 0,000178 0,000000
211 1631355152 0,100363 0,200000 0,100363 0,100363 0,002015
259 1631355152 0,136194 0,200000 0,136194 0,136194 0,003710
251 1631355153 0,042466 0,200000 0,042466 0,042466 0,000361
214 1631355153 0,000178 0,200000 0,000178 0,000178 0,000000
211 1631355153 0,100363 0,200000 0,100363 0,100363 0,002015
259 1631355153 0,136194 0,200000 0,136194 0,136194 0,003710
251 1631355154 0,042466 0,200000 0,042466 0,042466 0,000361
214 1631355154 0,000178 0,200000 0,000178 0,000178 0,000000
211 1631355154 0,100363 0,200000 0,100363 0,100363 0,002015
259 1631355154 0,136194 0,200000 0,136194 0,136194 0,003710
217 1631355155 0,100380 0,200000 0,100380 0,100380 0,002015
262 1631355155 0,042075 0,200000 0,042075 0,042075 0,000354
214 1631355155 0,000215 0,200000 0,000215 0,000215 0,000000
211 1631355155 0,100267 0,200000 0,100267 0,100267 0,002011
265 1631355155 0,100724 0,200000 0,100724 0,100724 0,002029
211 1631355156 0,100267 0,200000 0,100267 0,100267 0,002011
262 1631355156 0,042075 0,200000 0,042075 0,042075 0,000354
217 1631355156 0,100380 0,200000 0,100380 0,100380 0,002015
214 1631355156 0,000215 0,200000 0,000215 0,000215 0,000000
265 1631355156 0,100724 0,200000 0,100724 0,100724 0,002029
217 1631355157 0,100380 0,200000 0,100380 0,100380 0,002015
262 1631355157 0,042075 0,200000 0,042075 0,042075 0,000354
214 1631355157 0,000215 0,200000 0,000215 0,000215 0,000000
211 1631355157 0,100267 0,200000 0,100267 0,100267 0,002011
265 1631355157 0,100724 0,200000 0,100724 0,100724 0,002029
217 1631355158 0,100380 0,200000 0,100380 0,100380 0,002015
262 1631355158 0,042075 0,200000 0,042075 0,042075 0,000354
214 1631355158 0,000215 0,200000 0,000215 0,000215 0,000000
211 1631355158 0,100267 0,200000 0,100267 0,100267 0,002011
265 1631355158 0,100724 0,200000 0,100724 0,100724 0,002029
217 1631355159 0,100380 0,200000 0,100380 0,100380 0,002015
262 1631355159 0,042075 0,200000 0,042075 0,042075 0,000354
214 1631355159 0,000215 0,200000 0,000215 0,000215 0,000000
211 1631355159 0,100267 0,200000 0,100267 0,100267 0,002011
265 1631355159 0,100724 0,200000 0,100724 0,100724 0,002029
235 1631355160 0,067549 0,400000 0,065555 0,069543 0,001827
268 1631355160 15,447019 0,200000 15,447019 15,447019 47,722080
217 1631355160 0,100453 0,400000 0,100411 0,100495 0,004036
214 1631355160 0,000189 0,200000 0,000189 0,000189 0,000000
211 1631355160 0,083983 0,400000 0,067460 0,100506 0,002930
247 1631355160 10,283422 0,200000 10,283422 10,283422 21,149756
271 1631355160 20,568645 0,200000 20,568645 20,568645 84,613835
238 1631355160 15,433069 0,600000 10,283451 20,568684 153,486432
217 1631355161 0,100453 0,400000 0,100411 0,100495 0,004036
235 1631355161 0,067549 0,400000 0,065555 0,069543 0,001827
211 1631355161 0,083983 0,400000 0,067460 0,100506 0,002930
238 1631355161 15,433069 0,600000 10,283451 20,568684 153,486432
271 1631355161 20,568645 0,200000 20,568645 20,568645 84,613835
268 1631355161 15,447019 0,200000 15,447019 15,447019 47,722080
214 1631355161 0,000189 0,200000 0,000189 0,000189 0,000000
247 1631355161 10,283422 0,200000 10,283422 10,283422 21,149756
235 1631355162 0,067549 0,400000 0,065555 0,069543 0,001827
268 1631355162 15,447019 0,200000 15,447019 15,447019 47,722080
217 1631355162 0,100453 0,400000 0,100411 0,100495 0,004036
214 1631355162 0,000189 0,200000 0,000189 0,000189 0,000000
211 1631355162 0,083983 0,400000 0,067460 0,100506 0,002930
247 1631355162 10,283422 0,200000 10,283422 10,283422 21,149756
271 1631355162 20,568645 0,200000 20,568645 20,568645 84,613835
238 1631355162 15,433069 0,600000 10,283451 20,568684 153,486432
235 1631355163 0,067549 0,400000 0,065555 0,069543 0,001827
268 1631355163 15,447019 0,200000 15,447019 15,447019 47,722080
217 1631355163 0,100453 0,400000 0,100411 0,100495 0,004036
214 1631355163 0,000189 0,200000 0,000189 0,000189 0,000000
211 1631355163 0,083983 0,400000 0,067460 0,100506 0,002930
247 1631355163 10,283422 0,200000 10,283422 10,283422 21,149756
271 1631355163 20,568645 0,200000 20,568645 20,568645 84,613835
238 1631355163 15,433069 0,600000 10,283451 20,568684 153,486432
235 1631355164 0,067549 0,400000 0,065555 0,069543 0,001827
268 1631355164 15,447019 0,200000 15,447019 15,447019 47,722080
217 1631355164 0,100453 0,400000 0,100411 0,100495 0,004036
214 1631355164 0,000189 0,200000 0,000189 0,000189 0,000000
211 1631355164 0,083983 0,400000 0,067460 0,100506 0,002930
247 1631355164 10,283422 0,200000 10,283422 10,283422 21,149756
271 1631355164 20,568645 0,200000 20,568645 20,568645 84,613835
238 1631355164 15,433069 0,600000 10,283451 20,568684 153,486432
232 1631355165 0,119867 0,400000 0,119615 0,120120 0,005747
217 1631355165 0,120306 0,200000 0,120306 0,120306 0,002895
214 1631355165 0,000175 0,200000 0,000175 0,000175 0,000000
211 1631355165 0,100698 0,200000 0,100698 0,100698 0,002028
241 1631355165 0,042503 0,200000 0,042503 0,042503 0,000361
244 1631355165 0,120516 0,200000 0,120516 0,120516 0,002905
232 1631355166 0,119867 0,400000 0,119615 0,120120 0,005747
244 1631355166 0,120516 0,200000 0,120516 0,120516 0,002905
217 1631355166 0,120306 0,200000 0,120306 0,120306 0,002895
214 1631355166 0,000175 0,200000 0,000175 0,000175 0,000000
211 1631355166 0,100698 0,200000 0,100698 0,100698 0,002028
241 1631355166 0,042503 0,200000 0,042503 0,042503 0,000361
232 1631355167 0,119867 0,400000 0,119615 0,120120 0,005747
217 1631355167 0,120306 0,200000 0,120306 0,120306 0,002895
214 1631355167 0,000175 0,200000 0,000175 0,000175 0,000000
211 1631355167 0,100698 0,200000 0,100698 0,100698 0,002028
241 1631355167 0,042503 0,200000 0,042503 0,042503 0,000361
244 1631355167 0,120516 0,200000 0,120516 0,120516 0,002905
232 1631355168 0,119867 0,400000 0,119615 0,120120 0,005747
232 1631355169 0,119867 0,400000 0,119615 0,120120 0,005747
217 1631355168 0,120306 0,200000 0,120306 0,120306 0,002895
217 1631355169 0,120306 0,200000 0,120306 0,120306 0,002895
214 1631355168 0,000175 0,200000 0,000175 0,000175 0,000000
214 1631355169 0,000175 0,200000 0,000175 0,000175 0,000000
211 1631355168 0,100698 0,200000 0,100698 0,100698 0,002028
211 1631355169 0,100698 0,200000 0,100698 0,100698 0,002028
241 1631355168 0,042503 0,200000 0,042503 0,042503 0,000361
241 1631355169 0,042503 0,200000 0,042503 0,042503 0,000361
244 1631355168 0,120516 0,200000 0,120516 0,120516 0,002905
244 1631355169 0,120516 0,200000 0,120516 0,120516 0,002905
251 1631355170 0,043147 0,200000 0,043147 0,043147 0,000372
274 1631355170 0,052663 0,200000 0,052663 0,052663 0,000555
214 1631355170 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355170 0,080760 0,200000 0,080760 0,080760 0,001304
241 1631355170 0,041877 0,200000 0,041877 0,041877 0,000351
244 1631355170 0,120780 0,200000 0,120780 0,120780 0,002918
251 1631355171 0,043147 0,200000 0,043147 0,043147 0,000372
274 1631355171 0,052663 0,200000 0,052663 0,052663 0,000555
214 1631355171 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355171 0,080760 0,200000 0,080760 0,080760 0,001304
241 1631355171 0,041877 0,200000 0,041877 0,041877 0,000351
244 1631355171 0,120780 0,200000 0,120780 0,120780 0,002918
251 1631355172 0,043147 0,200000 0,043147 0,043147 0,000372
274 1631355172 0,052663 0,200000 0,052663 0,052663 0,000555
214 1631355172 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355172 0,080760 0,200000 0,080760 0,080760 0,001304
241 1631355172 0,041877 0,200000 0,041877 0,041877 0,000351
244 1631355172 0,120780 0,200000 0,120780 0,120780 0,002918
251 1631355173 0,043147 0,200000 0,043147 0,043147 0,000372
274 1631355173 0,052663 0,200000 0,052663 0,052663 0,000555
214 1631355173 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355173 0,080760 0,200000 0,080760 0,080760 0,001304
241 1631355173 0,041877 0,200000 0,041877 0,041877 0,000351
244 1631355173 0,120780 0,200000 0,120780 0,120780 0,002918
251 1631355174 0,043147 0,200000 0,043147 0,043147 0,000372
274 1631355174 0,052663 0,200000 0,052663 0,052663 0,000555
214 1631355174 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355174 0,080760 0,200000 0,080760 0,080760 0,001304
241 1631355174 0,041877 0,200000 0,041877 0,041877 0,000351
244 1631355174 0,120780 0,200000 0,120780 0,120780 0,002918
232 1631355175 0,081154 0,200000 0,081154 0,081154 0,001317
254 1631355175 12,762698 0,200000 12,762698 12,762698 32,577290
235 1631355175 0,070134 0,400000 0,068027 0,072242 0,001969
277 1631355175 20,496804 0,200000 20,496804 20,496804 84,023795
251 1631355175 0,044332 0,200000 0,044332 0,044332 0,000393
262 1631355175 0,040911 0,200000 0,040911 0,040911 0,000335
214 1631355175 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355175 0,096136 0,400000 0,091875 0,100396 0,003704
259 1631355175 0,135921 0,200000 0,135921 0,135921 0,003695
238 1631355175 16,629787 0,400000 12,762732 20,496842 116,601570
232 1631355176 0,081154 0,200000 0,081154 0,081154 0,001317
254 1631355176 12,762698 0,200000 12,762698 12,762698 32,577290
235 1631355176 0,070134 0,400000 0,068027 0,072242 0,001969
277 1631355176 20,496804 0,200000 20,496804 20,496804 84,023795
251 1631355176 0,044332 0,200000 0,044332 0,044332 0,000393
262 1631355176 0,040911 0,200000 0,040911 0,040911 0,000335
214 1631355176 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355176 0,096136 0,400000 0,091875 0,100396 0,003704
259 1631355176 0,135921 0,200000 0,135921 0,135921 0,003695
238 1631355176 16,629787 0,400000 12,762732 20,496842 116,601570
232 1631355177 0,081154 0,200000 0,081154 0,081154 0,001317
254 1631355177 12,762698 0,200000 12,762698 12,762698 32,577290
235 1631355177 0,070134 0,400000 0,068027 0,072242 0,001969
277 1631355177 20,496804 0,200000 20,496804 20,496804 84,023795
251 1631355177 0,044332 0,200000 0,044332 0,044332 0,000393
262 1631355177 0,040911 0,200000 0,040911 0,040911 0,000335
214 1631355177 0,000180 0,200000 0,000180 0,000180 0,000000
211 1631355177 0,096136 0,400000 0,091875 0,100396 0,003704
259 1631355177 0,135921 0,200000 0,135921 0,135921 0,003695
238 1631355177 16,629787 0,400000 12,762732 20,496842 116,601570
232 1631355178 0,081154 0,200000 0,081154 0,081154 0,001317
254 1631355178 12,762698 0,200000 12,762698 12,762698 32,577290
235 1631355178 0,070134 0,400000 0,068027 0,072242 0,001969
277 1631355178 20,496804 0,200000 20,496804 20,496804 84,023795
251 1631355178 0,044332 0,200000 0,044332 0,044332 0,000393
262 1631355178 0,040911 0,200000 0,040911 0,040911 0,000335
