offline_datapoint_11 1631449785 625961,000
offline_datapoint_5 1631449785 2586,000
offline_datapoint_26 1631449785 877764608,000
offline_datapoint_14 1631449785 464117760,000
offline_datapoint_3 1631449785 11932954624,000
offline_datapoint_9 1631449785 981618688,000
offline_datapoint_25 1631449785 8929,000
offline_datapoint_19 1631449783 83,576
offline_datapoint_8 1631449783 1799,689
offline_datapoint_21 1631449785 981618688,000
offline_datapoint_1 1631449783 16,517
offline_datapoint_20 1631449785 8061198336,000
offline_datapoint_7 1631449785 7729942528,000
offline_datapoint_6 1631449783 0,000
offline_datapoint_12 1631449783 3,894
offline_datapoint_24 1631449783 1,807
offline_datapoint_13 1631449783 5411,950
offline_datapoint_18 1631449785 0,000
offline_datapoint_0 1631449783 5827,847
offline_datapoint_16 1631449783 616,413
offline_datapoint_28 1631449783 7,124
offline_datapoint_17 1631449783 70,362
offline_datapoint_10 1631449783 96,001
offline_datapoint_29 1631449783 0,000
offline_datapoint_22 1631449783 14540,319
offline_datapoint_4 1631449783 0,142
offline_datapoint_11 1631449788 625961,000
offline_datapoint_5 1631449788 2609,000
offline_datapoint_26 1631449788 877907968,000
offline_datapoint_14 1631449788 464121856,000
offline_datapoint_3 1631449788 11964473344,000
offline_datapoint_9 1631449788 985677824,000
offline_datapoint_25 1631449788 8898,000
offline_datapoint_19 1631449786 17,211
offline_datapoint_8 1631449786 15559,575
offline_datapoint_21 1631449788 985677824,000
offline_datapoint_1 1631449786 2,700
offline_datapoint_20 1631449788 8091742208,000
offline_datapoint_7 1631449788 7755145216,000
offline_datapoint_6 1631449786 0,527
offline_datapoint_12 1631449786 18,884
offline_datapoint_24 1631449786 6,503
offline_datapoint_13 1631449786 13953,909
offline_datapoint_18 1631449788 0,000
offline_datapoint_0 1631449786 16997,183
offline_datapoint_16 1631449786 2126,377
offline_datapoint_28 1631449786 0,893
offline_datapoint_17 1631449786 113,389
offline_datapoint_10 1631449786 99,245
offline_datapoint_29 1631449786 6,749
offline_datapoint_22 1631449786 6790,095
offline_datapoint_4 1631449786 0,018
offline_datapoint_11 1631449791 625961,000
offline_datapoint_5 1631449791 2615,000
offline_datapoint_26 1631449791 877989888,000
offline_datapoint_14 1631449791 464142336,000
offline_datapoint_3 1631449791 11861966848,000
offline_datapoint_9 1631449791 986505216,000
offline_datapoint_25 1631449791 8914,000
offline_datapoint_19 1631449789 6,313
offline_datapoint_8 1631449789 6108,998
offline_datapoint_21 1631449791 986505216,000
offline_datapoint_1 1631449789 1,661
offline_datapoint_20 1631449791 7988330496,000
offline_datapoint_7 1631449791 7751561216,000
offline_datapoint_6 1631449789 0,173
offline_datapoint_12 1631449789 18,758
offline_datapoint_24 1631449789 1,557
offline_datapoint_13 1631449789 10472,046
offline_datapoint_18 1631449791 0,000
offline_datapoint_0 1631449789 13651,636
offline_datapoint_16 1631449789 789,415
offline_datapoint_28 1631449789 0,528
offline_datapoint_17 1631449789 54,821
offline_datapoint_10 1631449789 99,037
offline_datapoint_29 1631449789 1,329
offline_datapoint_22 1631449789 6007,467
offline_datapoint_4 1631449789 0,011
offline_datapoint_11 1631449794 625961,000
offline_datapoint_5 1631449794 2616,000
offline_datapoint_26 1631449794 878002176,000
offline_datapoint_14 1631449794 464154624,000
offline_datapoint_3 1631449794 11855929344,000
offline_datapoint_9 1631449794 986419200,000
offline_datapoint_25 1631449794 8922,000
offline_datapoint_19 1631449792 0,000
offline_datapoint_8 1631449792 2871,269
offline_datapoint_21 1631449794 986419200,000
offline_datapoint_1 1631449792 0,000
offline_datapoint_20 1631449794 7980662784,000
offline_datapoint_7 1631449794 7740481536,000
offline_datapoint_6 1631449792 0,781
