1631460585	0	1631460585
1631460585	1	1631460590
1631460590	2	1631460595
1631460595	3	1631460600
1631460600	4	1631460605
1631460605	5	1631460611
1631460611	6	1631460615
1631460615	7	1631460621
1631460621	8	1631460626
1631460626	9	1631460631
1631460631	10	1631461951
1631461951	11	1631461956
1631461956	12	1631461961
1631461961	13	1631461966
1631461966	14	1631461971
1631461971	15	1631461976
1631461976	16	1631461981
1631461981	17	1631461986
1631461986	18	1631461991
1631461991	19	1631461996
1631461996	20	1631463316
1631463316	21	1631463321
1631463321	22	1631463327
1631463327	23	1631463332
1631463332	24	1631463337
1631463337	25	1631463342
1631463342	26	1631463347
1631463347	27	1631463352
1631463352	28	1631463357
1631463357	29	1631463362
1631463362	30	1631464682
1631464682	31	1631464687
1631464687	32	1631464692
1631464692	33	1631464697
1631464697	34	1631464702
1631464702	35	1631464707
1631464707	36	1631464712
1631464712	37	1631464717
1631464717	38	1631464723
1631464723	39	1631464728
1631464728	40	1631466048
1631466048	41	1631466053
1631466053	42	1631466058
1631466058	43	1631466063
1631466063	44	1631466068
1631466068	45	1631466073
1631466073	46	1631466078
1631466078	47	1631466083
1631466083	48	1631466088
1631466088	49	1631466093
1631466093	50	1631467429
1631467429	49	1631467431
1631467431	48	1631467445
1631467445	47	1631467451
1631467451	46	1631467453
1631467453	45	1631467455
1631467455	44	1631467459
1631467459	42	1631467460
1631467460	40	1631467463
1631467463	39	1631467464
1631467464	38	1631467465
1631467465	36	1631467466
1631467466	34	1631467468
1631467468	33	1631467470
1631467470	32	1631467472
1631467472	31	1631467473
1631467473	29	1631467475
1631467475	27	1631467477
1631467477	25	1631467478
1631467478	24	1631467479
1631467479	22	1631467480
1631467480	20	1631467482
1631467482	19	1631467486
1631467486	17	1631467490
1631467490	16	1631467491
1631467491	13	1631467493
1631467493	12	1631467503
1631467503	11	1631467505
1631467505	10	1631467523
1631467523	9	1631467524
1631467524	8	1631467543
1631467543	7	1631467550
1631467550	6	1631467561
1631467561	5	1631467567
1631467567	4	1631467578
1631467578	3	1631467592
1631467592	2	1631467598
1631467598	1	1631467624
