313 1631640672 0,000000 0,000000 -101,000000 0,000000 0,000000
313 1631640673 0,000000 0,000000 -101,000000 0,000000 0,000000
313 1631640674 0,000000 0,000000 -101,000000 0,000000 0,000000
313 1631640675 0,000000 0,000000 -101,000000 0,000000 0,000000
313 1631640676 3,000000 0,200000 0,600000 0,600000 -20,200000
313 1631640677 3,000000 0,200000 1,200000 1,200000 -20,200000
313 1631640678 3,000000 0,200000 1,800000 1,800000 -20,200000
313 1631640679 3,000000 0,200000 2,400000 2,400000 -20,200000
313 1631640680 3,000000 0,200000 3,000000 3,000000 -20,200000
313 1631640681 3,000000 0,400000 4,200000 4,200000 -20,200000
313 1631640682 3,000000 0,400000 5,400000 5,400000 -20,200000
313 1631640683 3,000000 0,400000 6,600000 6,600000 -20,200000
313 1631640684 3,000000 0,400000 7,800000 7,800000 -20,200000
313 1631640685 3,000000 0,400000 9,000000 9,000000 -20,200000
313 1631640686 1,000000 0,600000 9,600000 9,600000 -20,200000
313 1631640687 1,000000 0,600000 10,200000 10,200000 -20,200000
313 1631640688 1,000000 0,600000 10,800000 10,800000 -20,200000
313 1631640689 1,000000 0,600000 11,400000 11,400000 -20,200000
313 1631640690 1,000000 0,600000 12,000000 12,000000 -20,200000
313 1631640691 -0,400000 1,000000 11,600000 11,600000 -20,200000
313 1631640692 -0,400000 1,000000 11,200000 11,200000 -20,200000
313 1631640693 -0,400000 1,000000 10,800000 10,800000 -20,200000
313 1631640694 -0,400000 1,000000 10,400000 10,400000 -20,200000
313 1631640695 -0,400000 1,000000 10,000000 10,000000 -20,200000
313 1631640696 0,777778 1,800000 11,400000 11,400000 -20,200000
313 1631640697 0,777778 1,800000 12,800000 12,800000 -20,200000
313 1631640698 0,777778 1,800000 14,200000 14,200000 -20,200000
313 1631640699 0,777778 1,800000 15,600000 15,600000 -20,200000
313 1631640700 0,777778 1,800000 17,000000 17,000000 -20,200000
313 1631640701 0,333333 2,400000 17,800000 17,800000 -20,200000
313 1631640702 0,333333 2,400000 18,600000 18,600000 -20,200000
313 1631640703 0,333333 2,400000 19,400000 19,400000 -20,200000
313 1631640704 0,333333 2,400000 20,200000 20,200000 -20,200000
313 1631640705 0,333333 2,400000 21,000000 21,000000 -20,200000
313 1631640706 0,071429 2,800000 21,200000 21,200000 -20,200000
313 1631640707 0,071429 2,800000 21,400000 21,400000 -20,200000
313 1631640708 0,071429 2,800000 21,600000 21,600000 -20,200000
313 1631640709 0,071429 2,800000 21,800000 21,800000 -20,200000
313 1631640710 0,071429 2,800000 22,000000 22,000000 -20,200000
313 1631640711 0,277778 3,600000 23,000000 23,000000 -20,200000
313 1631640712 0,277778 3,600000 24,000000 24,000000 -20,200000
313 1631640713 0,277778 3,600000 25,000000 25,000000 -20,200000
313 1631640714 0,277778 3,600000 26,000000 26,000000 -20,200000
313 1631640715 0,277778 3,600000 27,000000 27,000000 -20,200000
313 1631640716 -0,086957 4,600000 26,600000 26,600000 -20,200000
313 1631640717 -0,086957 4,600000 26,200000 26,200000 -20,200000
313 1631640718 -0,086957 4,600000 25,800000 25,800000 -20,200000
313 1631640719 -0,086957 4,600000 25,400000 25,400000 -20,200000
313 1631640720 -0,086957 4,600000 25,000000 25,000000 -20,200000
313 1631640721 0,333333 6,000000 27,000000 27,000000 -20,200000
313 1631640722 0,333333 6,000000 29,000000 29,000000 -20,200000
313 1631640723 0,333333 6,000000 31,000000 31,000000 -20,200000
313 1631640724 0,333333 6,000000 33,000000 33,000000 -20,200000
313 1631640725 0,333333 6,000000 35,000000 35,000000 -20,200000
313 1631640726 -0,031250 6,400000 34,800000 34,800000 -20,200000
313 1631640727 -0,031250 6,400000 34,600000 34,600000 -20,200000
313 1631640728 -0,031250 6,400000 34,400000 34,400000 -20,200000
313 1631640729 -0,031250 6,400000 34,200000 34,200000 -20,200000
313 1631640730 -0,031250 6,400000 34,000000 34,000000 -20,200000
313 1631640731 -0,058824 6,800000 33,600000 33,600000 -20,200000
313 1631640732 -0,058824 6,800000 33,200000 33,200000 -20,200000
313 1631640733 -0,058824 6,800000 32,800000 32,800000 -20,200000
313 1631640734 -0,058824 6,800000 32,400000 32,400000 -20,200000
313 1631640735 -0,058824 6,800000 32,000000 32,000000 -20,200000
313 1631640736 -0,108108 7,400000 31,200000 31,200000 -20,200000
313 1631640737 -0,108108 7,400000 30,400000 30,400000 -20,200000
313 1631640738 -0,108108 7,400000 29,600000 29,600000 -20,200000
313 1631640739 -0,108108 7,400000 28,800000 28,800000 -20,200000
313 1631640740 -0,108108 7,400000 28,000000 28,000000 -20,200000
313 1631640741 -0,025641 7,800000 27,800000 27,800000 -20,200000
313 1631640742 -0,025641 7,800000 27,600000 27,600000 -20,200000
313 1631640743 -0,025641 7,800000 27,400000 27,400000 -20,200000
313 1631640744 -0,025641 7,800000 27,200000 27,200000 -20,200000
